Pathway name	Pathway ID
Glycosylphosphatidylinositol (GPI)-anchor biosynthesis	hsa00563
Aminoacyl-tRNA biosynthesis	hsa00970
One carbon pool by folate	hsa00670
RNA polymerase	hsa03020
Nucleotide excision repair	hsa03420
Cell cycle	hsa04110
DNA replication	hsa03030
Mismatch repair	hsa03430
Fanconi anemia pathway	hsa03460
Base excision repair	hsa03410
Homologous recombination	hsa03440
Cysteine and methionine metabolism	hsa00270
Proteasome	hsa03050
Ribosome biogenesis in eukaryotes	hsa03008
RNA transport	hsa03013
mRNA surveillance pathway	hsa03015
RNA degradation	hsa03018
Spliceosome	hsa03040
N-Glycan biosynthesis	hsa00510
Protein export	hsa03060
